Qty,Designator,Footprint,Comment,LCSC Part #,Description,Device
1,R1,52101-101-REV-A_RC-MASTER-SMD_R0603MP,75R,C2907204,RESISTOR,52101-101-REV-A_RC-MASTER-SMD_R_0603MP
1,R2,52101-101-REV-A_RC-MASTER-SMD_R0603MP,220R,C22962,RESISTOR,52101-101-REV-A_RC-MASTER-SMD_R_0603MP
1,"R3,R6",52101-101-REV-A_RC-MASTER-SMD_R0603MP,1K2,C22765,RESISTOR,52101-101-REV-A_RC-MASTER-SMD_R_0603MP
2,"R4, R5",52101-101-REV-A_RC-MASTER-SMD_R0603MP,3K,C4211,RESISTOR,52101-101-REV-A_RC-MASTER-SMD_R_0603MP
2,"R7, R8",52101-101-REV-A_RC-MASTER-SMD_R0603MP,470R,C23179,RESISTOR,52101-101-REV-A_RC-MASTER-SMD_R_0603MP
8,"B1, B2, B3, B4, B5, B6, B7, B8",K21107STA4SW06,K2-1107ST-A4SW-06,C2837195,Tactile Switches SPST-NO 6.10mm x 3.60mm 2.50mm 50mA @ 12VDC SMD RoHS,K2-1107ST-A4SW-06
2,"Q1, Q2",ON_SEMICONDUCTOR_BC849BLT1G_0,ON_SEMICONDUCTOR_BC849BLT1GON_SEMICONDUCTOR_BC849BLT1G_0_0,C2150,ONSC-NPN-B1E2C3-3,ON_SEMICONDUCTOR_BC849BLT1GON_SEMICONDUCTOR_BC849BLT1G_0_0
1,J3,HRO_PJ-320D-A,PJ-320D-A,C431535,Check availability,PJ-320D-A
1,U$1,VG039NCHXTB101,VG039NCHXTB153,C128547,,VG039NCHXTB153
